iter	Passed	Remaining
0	164	164362
1	180	90240
2	190	63429
3	197	49130
4	204	40698
5	211	35034
6	218	31009
7	225	27968
8	231	25502
9	237	23556
10	244	21950
11	250	20611
12	257	19513
13	263	18532
14	269	17693
15	275	16943
16	281	16286
17	288	15733
18	294	15223
19	301	14767
20	308	14365
21	314	13988
22	321	13671
23	328	13363
24	335	13087
25	344	12897
26	351	12657
27	357	12420
28	364	12197
29	371	12000
30	377	11808
31	384	11637
32	391	11479
33	398	11333
34	407	11229
35	415	11115
36	423	11020
37	431	10925
38	440	10848
39	449	10777
40	457	10690
41	464	10599
42	472	10509
43	479	10426
44	488	10360
45	495	10282
46	504	10220
47	512	10156
48	520	10111
49	528	10039
50	536	9981
51	543	9916
52	552	9867
53	560	9814
54	569	9778
55	577	9742
56	586	9696
57	593	9645
58	602	9615
59	609	9552
60	617	9508
61	624	9449
62	632	9414
63	639	9357
64	647	9308
65	654	9259
66	661	9208
67	668	9166
68	675	9115
69	683	9085
70	690	9037
71	698	8998
72	705	8953
73	712	8914
74	719	8875
75	726	8831
76	733	8795
77	740	8751
78	747	8713
79	754	8671
80	761	8635
81	767	8594
82	774	8554
83	784	8549
84	790	8512
85	798	8482
86	804	8444
87	812	8415
88	818	8381
89	825	8350
90	832	8316
91	839	8281
92	846	8255
93	853	8224
94	860	8197
95	867	8164
96	873	8131
97	880	8104
98	887	8076
99	894	8048
100	900	8019
101	907	7993
102	915	7969
103	923	7954
104	930	7933
105	937	7908
106	944	7882
107	950	7854
108	957	7829
109	965	7808
110	972	7791
111	980	7777
112	989	7767
113	997	7752
114	1005	7734
115	1013	7726
116	1021	7706
117	1029	7697
118	1037	7681
119	1045	7668
120	1053	7651
121	1062	7643
122	1069	7628
123	1078	7617
124	1086	7602
125	1095	7597
126	1102	7580
127	1114	7590
128	1124	7592
129	1133	7587
130	1144	7593
131	1156	7604
132	1175	7663
133	1185	7661
134	1197	7674
135	1210	7693
136	1219	7684
137	1230	7683
138	1238	7672
139	1246	7658
140	1255	7651
141	1264	7637
142	1272	7628
143	1279	7607
